,Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Cylinder_Configuration,Emission_Norm,Engine_Location,Fuel_Tank_Capacity,Fuel_Type,Body_Type,City_Mileage,ARAI_Certified_Mileage,Front_Brakes,Rear_Brakes,Power,Seating_Capacity,Seats_Material,Wheelbase,Wheels_Size,Airbags,Number_of_Airbags
264,Lamborghini,Huracan,Lp 610-4,"Rs. 3,71,33,704",5204 cc,10,V,BS IV,"Rear, Transverse",90 litres,Petrol,Coupe,5.6 km/litre,10.6 km/litre,Ventilated Disc,Ventilated Disc,610PS@8250rpm,2,Leather,2620 mm,R20,"Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",4
265,Lamborghini,Huracan,Lp 580-2,"Rs. 3,24,52,486",5204 cc,10,V,BS IV,"Rear, Transverse",90 litres,Petrol,Coupe,5.8 km/litre,11.24 km/litre,Ventilated Disc,Ventilated Disc,580PS@8000rpm,2,Leather,2620 mm,R19,"Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",4
266,Lamborghini,Huracan,Avio,"Rs. 3,51,50,732",5204 cc,10,V,BS IV,"Rear, Transverse",90 litres,Petrol,Coupe,10.6 km/litre,8 km/litre,Ventilated Disc,Ventilated Disc,610PS@8250rpm,2,Leather,2620 mm,R20,"Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",4
267,Lamborghini,Huracan,Performante,"Rs. 3,76,14,126",5204 cc,10,V,BS IV,"Rear, Transverse",90 litres,Petrol,Coupe,5.6 km/litre,10.6 km/litre,Ventilated Disc,Ventilated Disc,639PS@8250rpm,2,Leather,2620 mm,R20,"Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",4
268,Lamborghini,Huracan,Lp 580-2 Spyder,"Rs. 3,55,35,000",5204 cc,10,V,BS IV,"Rear, Transverse",90 litres,Petrol,Coupe,5.8 km/litre,11.24 km/litre,Ventilated Disc,Ventilated Disc,571 bhp @ 8000 rpm,2,Leather,2620 mm,R19,"Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",4
269,Lamborghini,Huracan,Lp 610-4 Spyder,"Rs. 4,07,42,932",5204 cc,10,V,BS IV,"Rear, Transverse",90 litres,Petrol,Coupe,5.6 km/litre,10.6 km/litre,Ventilated Disc,Ventilated Disc,602 bhp @ 8250 rpm,2,Leather,2620 mm,R20,"Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",4
270,Lamborghini,Huracan,Evo,"Rs. 3,73,00,000",5204 cc,10,V,BS IV,"Rear, Transverse",90 litres,Petrol,Coupe,5.6 km/litre,10.6 km/litre,Ventilated Disc,Ventilated Disc,631Bhp@8250rpm,2,Leather,2620 mm,R20,"Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",4
271,Lamborghini,Huracan,Evo Rwd,"Rs. 3,22,00,000",5204 cc,10,V,BS 6,"Rear, Transverse",90 litres,Petrol,Coupe,5.6 km/litre,10.6 km/litre,Ventilated Disc,Ventilated Disc,610PS@8000 rpm,2,Leather,2620 mm,R20,"Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",4
272,Ferrari,488 Gtb,Std,"Rs. 3,67,61,413",3902 cc,8,V,BS IV,"Front, Longitudinal",78 litres,Petrol,Coupe,3.2 km/litre,5.5 km/litre,Ventilated Disc,Ventilated Disc,670PS@8000rpm,2,Leather,2650 mm,ZR20,"Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",4
273,Ferrari,488 Gtb,Spider,"Rs. 3,93,19,552",3902 cc,8,V,BS IV,"Front, Longitudinal",78 litres,Petrol,Coupe,3.2 km/litre,5.5 km/litre,Ventilated Disc,Ventilated Disc,670PS@8000rpm,2,Leather,2650 mm,ZR20,"Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",4
274,Ford,Figo,Ambiente 1.5 Tdci,"Rs. 6,23,000",1498 cc,4,In-line,BS IV,"Front, Transverse",40 litres,Diesel,Hatchback,17 km/litre,25.5 km/litre,Ventilated Disc,Drum,100PS@3750RPM,5,Fabric,2490 mm,175/65R14,"Driver frontal airbag, Front passenger frontal airbag",2
275,Maruti Suzuki,Baleno,1.2 Alpha,"Rs. 7,58,212",1197 cc,4,In-line,BS 6,"Front, Transverse",37 litres,Petrol,Hatchback,21.4 km/litre,21.4 km/litre,Ventilated Disc,Drum,83 Bhp@6000rpm,5,Fabric,2520 mm,195/55R16,"Driver frontal airbag, Front passenger frontal airbag",2
